h,Open,High,Low,Close,Volume,Adj Close
14/12/2016,168.369995,169.889999,167.449997,168.509995,4124200,167.188056
13/12/2016,165.679993,169.949997,165.679993,168.289993,5932300,166.969781
12/12/2016,166.720001,166.789993,165.070007,165.5,3392300,164.201675
09/12/2016,165.179993,166.720001,164.600006,166.520004,3146900,165.213677
08/12/2016,164.869995,166,164.220001,165.360001,3266400,164.062774
07/12/2016,160.600006,165.179993,160.389999,164.789993,4435100,163.497238
06/12/2016,160.130005,160.789993,158.929993,160.350006,2859000,159.092082
05/12/2016,160.850006,161.149994,159.589996,159.839996,3447100,158.586073
02/12/2016,159,160.289993,158.410004,160.020004,2740900,158.764669
01/12/2016,161.949997,162.199997,158.300003,159.820007,4635700,158.566241
30/11/2016,163.350006,163.800003,162.210007,162.220001,4397800,160.947407
29/11/2016,164,164.410004,163.029999,163.529999,3148200,162.247128
28/11/2016,163.199997,164.660004,162.699997,164.520004,4449400,163.229367
25/11/2016,161.830002,163.190002,161.830002,163.139999,1605300,161.860188
23/11/2016,161.940002,162.380005,161.360001,161.979996,2252700,160.709284
22/11/2016,163,163,161.949997,162.669998,2770800,161.393874
21/11/2016,160.690002,163,160.369995,162.770004,4637100,161.493096
18/11/2016,159.800003,160.720001,159.210007,160.389999,2981600,159.131761
17/11/2016,159.220001,159.929993,158.850006,159.800003,2261200,158.546394
16/11/2016,158.460007,159.550003,158.029999,159.289993,2252800,158.040385
15/11/2016,158.419998,159.149994,157.550003,158.669998,3477000,157.425253
14/11/2016,161.25,161.860001,157.580002,158.210007,5196500,156.968871
11/11/2016,159.970001,161.339996,159.330002,161.270004,4446600,160.004863
10/11/2016,157.660004,161.160004,157.589996,160.220001,7715800,158.963097
09/11/2016,152.960007,155.559998,151,154.809998,5403700,153.595534
08/11/2016,154.559998,155.929993,153.059998,155.169998,3921900,153.95271
07/11/2016,153.990005,156.110001,153.839996,155.720001,3804900,153.109374
04/11/2016,152.399994,153.639999,151.869995,152.429993,2470400,149.874522
03/11/2016,152.509995,153.740005,151.800003,152.369995,2878800,149.815531
02/11/2016,152.479996,153.350006,151.669998,151.949997,3074400,149.402574
01/11/2016,153.5,153.910004,151.740005,152.789993,3191900,150.228488
31/10/2016,152.759995,154.330002,152.759995,153.690002,3553200,151.113408
28/10/2016,154.050003,154.440002,152.179993,152.610001,3654500,150.051512
27/10/2016,152.820007,154.059998,152.020004,153.350006,4229300,150.779112
26/10/2016,150.710007,152.940002,150.259995,151.809998,2811700,149.264921
25/10/2016,150.570007,151.160004,149.830002,150.880005,2647500,148.35052
24/10/2016,150.399994,151.520004,150.399994,150.570007,2666700,148.045719
21/10/2016,150.580002,151.149994,149.559998,149.630005,4414200,147.121476
20/10/2016,151.279999,152.899994,151.020004,151.520004,4023100,148.97979
19/10/2016,151.270004,152.449997,150.830002,151.259995,4632900,148.724139
18/10/2016,150.020004,151,147.789993,150.720001,12770600,148.193199
17/10/2016,154.449997,155.889999,154.339996,154.770004,5890400,152.175304
14/10/2016,154.470001,155.529999,154.089996,154.449997,4358200,151.860661
13/10/2016,153.699997,154.220001,152.270004,153.720001,2909900,151.142904
12/10/2016,154.970001,154.970001,153.080002,154.289993,2964000,151.70334
11/10/2016,156.729996,156.949997,153.889999,154.789993,2901300,152.194958
10/10/2016,156.710007,158.490005,156.660004,157.020004,2481300,154.387583
